generation	eq_score	techniques	status	description
0	5.013	none	keep	baseline
1	5.137	none	keep	tone_change
2	5.338	none	keep	temp_0.80
3	5.350	concrete_next_steps	discard	add_concrete_next_steps
4	5.200	none	discard	tone_change
5	5.350	none	discard	tone_change
6	5.200	emotional_labeling	discard	add_emotional_labeling
7	4.700	none	discard	tone_change
8	5.013	the_feel_felt_found	discard	add_the_feel_felt_found
9	5.112	proactive_extras	discard	add_proactive_extras
10	5.550	the_feel_felt_found	keep	add_the_feel_felt_found
11	5.138	the_feel_felt_found	discard	tone_change
12	5.425	the_feel_felt_found	discard	crossover
13	5.238	the_feel_felt_found+never_say_calm_down	discard	add_never_say_calm_down
14	5.325	none	discard	crossover
15	5.650	the_feel_felt_found	keep	tone_change
16	4.825	the_feel_felt_found	discard	crossover
17	5.200	the_feel_felt_found	discard	tone_change
18	5.138	none	discard	crossover
19	5.237	the_feel_felt_found	discard	temp_0.70
20	5.212	the_feel_felt_found	discard	crossover
21	5.237	the_feel_felt_found	discard	tone_change
22	5.550	the_feel_felt_found+emotional_labeling	discard	add_emotional_labeling
23	5.138	none	discard	crossover
24	5.013	the_feel_felt_found	discard	temp_0.90
25	5.525	the_feel_felt_found	discard	tone_change
26	5.350	the_feel_felt_found	discard	tone_change
27	5.425	the_feel_felt_found+validation_before_solution	discard	add_validation_before_solution
28	5.750	the_feel_felt_found+ownership_language	keep	add_ownership_language
29	5.100	the_feel_felt_found+ownership_language	discard	crossover
30	4.888	the_feel_felt_found+ownership_language	discard	tone_change
31	5.237	the_feel_felt_found	discard	remove_ownership_language
32	5.013	the_feel_felt_found+proactive_extras	discard	swap_ownership_language_for_proactive_extras
33	5.550	ownership_language	discard	crossover
34	5.300	the_feel_felt_found+ownership_language	discard	crossover
35	4.825	the_feel_felt_found+ownership_language+emotional_labeling	discard	add_emotional_labeling
36	5.450	the_feel_felt_found+ownership_language	discard	tone_change
37	5.250	the_feel_felt_found+ownership_language+concrete_next_steps	discard	add_concrete_next_steps
38	5.550	the_feel_felt_found+ownership_language+concrete_next_steps	discard	add_concrete_next_steps
39	5.138	the_feel_felt_found+ownership_language	discard	temp_0.85
40	5.138	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
41	5.325	ownership_language	discard	remove_the_feel_felt_found
42	5.013	the_feel_felt_found+proactive_extras	discard	swap_ownership_language_for_proactive_extras
43	5.237	ownership_language+validation_before_solution	discard	swap_the_feel_felt_found_for_validation_before_solution
44	4.888	the_feel_felt_found+ownership_language+mirroring	discard	add_mirroring
45	5.350	ownership_language+concrete_next_steps	discard	swap_the_feel_felt_found_for_concrete_next_steps
46	4.825	ownership_language	discard	remove_the_feel_felt_found
47	5.450	the_feel_felt_found+ownership_language+casual_professionalism	discard	add_casual_professionalism
48	5.237	the_feel_felt_found+ownership_language	discard	crossover
49	5.425	the_feel_felt_found+ownership_language	discard	tone_change
50	5.550	the_feel_felt_found+ownership_language+strategic_agreement	discard	add_strategic_agreement
51	5.225	the_feel_felt_found+ownership_language+proactive_extras	discard	add_proactive_extras
52	5.138	the_feel_felt_found+ownership_language	discard	crossover
53	5.325	the_feel_felt_found+ownership_language	discard	temp_0.85
54	5.337	ownership_language+mirroring	discard	swap_the_feel_felt_found_for_mirroring
55	5.325	the_feel_felt_found	discard	remove_ownership_language
56	5.550	ownership_language+validation_before_solution	discard	swap_the_feel_felt_found_for_validation_before_solution
57	5.200	the_feel_felt_found+proactive_extras	discard	swap_ownership_language_for_proactive_extras
58	5.338	the_feel_felt_found+casual_professionalism	discard	swap_ownership_language_for_casual_professionalism
59	5.237	the_feel_felt_found+ownership_language	discard	temp_0.75
60	5.038	the_feel_felt_found+ownership_language+personal_touch	discard	add_personal_touch
61	5.138	the_feel_felt_found+ownership_language	discard	crossover
62	4.825	ownership_language	discard	crossover
63	4.825	ownership_language	discard	remove_the_feel_felt_found
64	5.550	ownership_language	discard	crossover
65	5.425	ownership_language+emotional_labeling	discard	swap_the_feel_felt_found_for_emotional_labeling
66	5.300	the_feel_felt_found+ownership_language	discard	crossover
67	5.225	the_feel_felt_found+ownership_language+warmth_injection	discard	add_warmth_injection
68	4.925	the_feel_felt_found+ownership_language+energy_matching	discard	add_energy_matching
69	5.450	the_feel_felt_found+ownership_language	discard	tone_change
70	5.338	ownership_language	discard	crossover
71	5.450	ownership_language+energy_matching	discard	swap_the_feel_felt_found_for_energy_matching
72	4.800	the_feel_felt_found+ownership_language	discard	tone_change
73	5.650	the_feel_felt_found+ownership_language	discard	tone_change
74	4.888	the_feel_felt_found	discard	crossover
75	5.338	ownership_language+validation_before_solution	discard	swap_the_feel_felt_found_for_validation_before_solution
